customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00001,Male,0,Yes,No,43,Yes,Yes,DSL,Yes,No,No,No,No,No internet service,Month-to-month,No,Electronic check,58.31,2738.8,Yes
CUST-00002,Female,1,Yes,Yes,69,Yes,No,DSL,No,Yes,Yes,No,No internet service,Yes,Two year,No,Bank transfer (automatic),40.09,3027.07,No
CUST-00003,Male,0,No,Yes,63,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,Yes,No,Month-to-month,No,Mailed check,63.75,4324.04,No
CUST-00004,Male,0,Yes,No,70,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),103.73,7068.36,No
CUST-00005,Male,0,Yes,No,65,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No,No internet service,Month-to-month,Yes,Electronic check,23.44,1586.07,Yes
CUST-00006,Female,1,Yes,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,40.4,2528.03,No
CUST-00007,Male,0,Yes,No,54,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),115.16,6753.73,Yes
CUST-00008,Male,0,No,No,36,No,No phone service,DSL,No,No internet service,No,No,Yes,No,Month-to-month,No,Mailed check,97.04,3462.09,No
CUST-00009,Male,0,No,No,71,No,No phone service,DSL,No,No,No,No,Yes,No internet service,Two year,No,Mailed check,45.84,3299.35,No
CUST-00010,Female,0,No,No,15,No,No phone service,Fiber optic,No,No internet service,Yes,No,Yes,No,Month-to-month,No,Mailed check,101.83,1492.29,No
CUST-00011,Male,0,No,No,18,Yes,No,Fiber optic,Yes,No,Yes,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),32.43,573.76,No
CUST-00012,Male,0,No,No,4,Yes,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,84.68,330.22,No
CUST-00013,Male,0,No,No,11,Yes,No,DSL,No internet service,No,No,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),37.93,415.23,No
CUST-00014,Male,0,No,No,6,Yes,No,DSL,No,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Electronic check,71.1,457.27,No
